Franklin_Paxinos_Full_name,Franklin_Paxinos_abbreviation,Structural_ID,structure_Order,red,green,blue,Parent_ID,Parent_abbreviation,Allen_Full_name,Allen_abbreviation
Posterolateral cortical amygdaloid area 3,PLCo3,232,35700,160,255,180,655,PLCo,Cortical amygdalar area_posterior part_lateral zone_layer 3,COApl3
Posteromedial cortical amygdaloid area,PMCo,663,35800,160,255,181,647,PCO,Cortical amygdalar area_posterior part_medial zone,COApm
Posteromedial cortical amygdaloid area 1,PMCo1,240,36100,160,255,181,663,PMCo,Cortical amygdalar area_posterior part_medial zone_layer 1,COApm1
Posteromedial cortical amygdaloid area 2,PMCo2,248,36200,160,255,181,663,PMCo,Cortical amygdalar area_posterior part_medial zone_layer 2,COApm2
Posteromedial cortical amygdaloid area 3,PMCo3,256,36300,160,255,181,663,PMCo,Cortical amygdalar area_posterior part_medial zone_layer 3,COApm3
Rostral amygdalopiriform area,RAPir,788,36400,160,255,169,698,OLF,Piriform-amygdalar area,PAA
Rostral amygdalopiriform area 1,RAPir1,408,36600,160,255,169,788,RAPir,Piriform-amygdalar area_molecular layer,PAA1
Rostral amygdalopiriform area 2,RAPir2,416,36700,160,255,169,788,RAPir,Piriform-amygdalar area_pyramidal layer,PAA2
Rostral amygdalopiriform area 3,RAPir3,424,36800,160,255,169,788,RAPir,Piriform-amygdalar area_polymorph layer,PAA3
Amygdalopiriform transition area,Apir,566,36900,160,255,166,698,OLF,Postpiriform transition area,TR
Postpiriform transition area_layers 1,APir1,1140,37100,160,255,166,566,Apir,Postpiriform transition area_layers 1,TR1
Postpiriform transition area_layers 2,APir2,1141,37200,160,255,166,566,Apir,Postpiriform transition area_layers 2,TR2
Postpiriform transition area_layers 3,APir3,1142,37300,160,255,166,566,Apir,Postpiriform transition area_layers 3,TR3
Hippocampal formation,HPF,1089,37400,144,255,176,695,CTXpl,Hippocampal formation,HPF
Hippocampal region,HIP,1080,37500,121,255,128,1089,HPF,Hippocampal region,HIP
"'""Ammon''s horn""'",CA,375,37600,122,255,122,1080,HIP,Ammon's horn,CA
Field CA1 of the hippocampus,CA1,382,37700,122,255,121,375,CA,Field CA1,CA1
Field CA1 of the hippocampus- lacunosum moleculare layer of the hippocampus,LMol ,391,37800,123,255,121,382,CA1,Field CA1_stratum lacunosum-moleculare,CA1slm
Field CA1 of the hippocampus- oriens layer of the hippocampus,Or,399,37900,124,255,121,382,CA1,Field CA1_stratum oriens,CA1so
Field CA1 of the hippocampus- pyramidal layer of the hippocampus,Py,407,38000,75,230,70,382,CA1,Field CA1_pyramidal layer,CA1sp
Field CA1 of the hippocampus- radiatum layer of the hippocampus,Rad,415,38100,126,255,121,382,CA1,Field CA1_stratum radiatum,CA1sr
Field CA2 of the hippocampus,CA2,423,38200,122,255,120,375,CA,Field CA2,CA2
Field CA2 of the hippocampus- lacunosum moleculare layer of the hippocampus,LMol ,431,38300,123,255,120,423,CA2,Field CA2_stratum lacunosum-moleculare,CA2slm
Field CA2 of the hippocampus- oriens layer of the hippocampus,Or,438,38400,124,255,120,423,CA2,Field CA2_stratum oriens,CA2so
Field CA2 of the hippocampus- pyramidal layer of the hippocampus,Py,446,38500,75,230,70,423,CA2,Field CA2_pyramidal layer,CA2sp
Field CA2 of the hippocampus- radiatum layer of the hippocampus,Rad,454,38600,126,255,120,423,CA2,Field CA2_stratum radiatum,CA2sr
Field CA3 of the hippocampus,CA3,463,38700,122,255,119,375,CA,Field CA3,CA3
Field CA3 of the hippocampus- lacunosum moleculare layer of the hippocampus,LMol ,471,38800,123,255,119,463,CA3,Field CA3_stratum lacunosum-moleculare,CA3slm
Field CA3 of the hippocampus- stratum lucidum of the hippocampus,SLu ,479,38900,124,255,119,463,CA3,Field CA3_stratum lucidum,CA3slu
Field CA3 of the hippocampus- oriens layer of the hippocampus,Or,486,39000,125,255,119,463,CA3,Field CA3_stratum oriens,CA3so
Field CA3 of the hippocampus- pyramidal layer of the hippocampus,Py,495,39100,75,230,70,463,CA3,Field CA3_pyramidal layer,CA3sp
Field CA3 of the hippocampus- radiatum layer of the hippocampus,Rad,504,39200,127,255,119,463,CA3,Field CA3_stratum radiatum,CA3sr
Dentate gyrus,DG,726,39300,114,250,114,1080,HIP,Dentate gyrus,DG
Molecular layer of the dentate gyrus,MoDG,10703,39400,114,250,114,726,DG,Dentate gyrus_molecular layer,DG-mo
Polymorph layer of the dentate gyrus,PoDG,10704,39500,94,230,94,726,DG,Dentate gyrus_polymorph layer,DG-po
Granule cell layer of the dentate gyrus,GrDG,632,39600,64,200,64,726,DG,Dentate gyrus_granule cell layer,DG-sg
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus_subgranular zone,DG-sgz
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus crest,DGcr
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus crest_molecular layer,DGcr-mo
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus crest_polymorph layer,DGcr-po
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus crest_granule cell layer,DGcr-sg
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus lateral blade,DGlb
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus lateral blade_molecular layer,DGlb-mo
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus lateral blade_polymorph layer,DGlb-po
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus lateral blade_granule cell layer,DGlb-sg
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus medial blade,DGmb
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus medial blade_molecular layer,DGmb-mo
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus medial blade_polymorph layer,DGmb-po
none,none,-1,-1,-1,-1,-1,-1,none,Dentate gyrus medial blade_granule cell layer,DGmb-sg
Fasciola cinereum,FC,982,41000,114,253,114,1080,HIP,Fasciola cinerea,FC
Induseum griseum,IG,19,41100,114,254,114,1080,HIP,Induseum griseum,IG
Retrohippocampal region,RHP,822,41200,144,255,176,1089,HPF,Retrohippocampal region,RHP
Entorhinal area,ENT,909,41300,128,255,144,822,RHP,Entorhinal area,ENT
Dorsolateral entorhinal cortex,DLEnt,918,41350,128,255,145,909,ENT,Entorhinal area_lateral part,ENTl
Dorsolateral entorhinal cortex_layer 1,DLEnt1,1121,41400,0,104,101,918,DLEnt,Entorhinal area_lateral part_layer 1,ENTl1
Dorsolateral entorhinal cortex_layer 2,DLEnt2,20,41500,0,114,116,918,DLEnt,Entorhinal area_lateral part_layer 2,ENTl2
Dorsolateral entorhinal cortex_layer 2/3,DLEnt2/3,999,41600,50,133,139,918,DLEnt,Entorhinal area_lateral part_layer 2/3,ENTl2/3
Dorsolateral entorhinal cortex_layer 2a,DLEnta,715,41700,0,115,122,918,DLEnt,Entorhinal area_lateral part_layer 2a,ENTl2a
Dorsolateral entorhinal cortex_layer 2b,DLEntb,764,41800,0,128,132,918,DLEnt,Entorhinal area_lateral part_layer 2b,ENTl2b
Dorsolateral entorhinal cortex_layer 3,DLEnt3,52,41900,86,151,158,918,DLEnt,Entorhinal area_lateral part_layer 3,ENTl3
Dorsolateral entorhinal cortex_layer 4,DLEnt4,92,42000,117,161,167,918,DLEnt,Entorhinal area_lateral part_layer 4,ENTl4
Dorsolateral entorhinal cortex_layer 4/5,DLEnt4/5,312,42100,157,184,189,918,DLEnt,Entorhinal area_lateral part_layer 4/5,ENTl4/5
Dorsolateral entorhinal cortex_layer 5,DLEnt5,139,42200,190,204,206,918,DLEnt,Entorhinal area_lateral part_layer 5,ENTl5
Dorsolateral entorhinal cortex_layer 5/6,DLEnt5/6,387,42300,138,168,168,918,DLEnt,Entorhinal area_lateral part_layer 5/6,ENTl5/6
Dorsolateral entorhinal cortex_layer 6a,DLEnt6a,28,42400,148,179,173,918,DLEnt,Entorhinal area_lateral part_layer 6a,ENTl6a
Dorsolateral entorhinal cortex_layer 6b,DLEnt6b,60,42500,180,199,193,918,DLEnt,Entorhinal area_lateral part_layer 6b,ENTl6b
Dorsal intermediate entorhinal cortex,DIEnt,926,42700,128,255,146,909,ENT,Entorhinal area_medial part_dorsal zone,ENTm
Dorsal intermediate entorhinal cortex_layer 1,DIEnt1,526,42800,0,104,87,926,DIEnt,Entorhinal area_medial part_dorsal zone_layer 1,ENTm1
Dorsal intermediate entorhinal cortex_layer 2,DIEnt2,543,42900,0,118,106,926,DIEnt,Entorhinal area_medial part_dorsal zone_layer 2,ENTm2
Dorsal intermediate entorhinal cortex_layer 2a,DIEnt2a,468,43000,1,118,106,926,DIEnt,Entorhinal area_medial part_dorsal zone_layer 2a,ENTm2a
Dorsal intermediate entorhinal cortex_layer 2b,DIEnt2b,508,43100,2,118,106,926,DIEnt,Entorhinal area_medial part_dorsal zone_layer 2b,ENTm2b
Dorsal intermediate entorhinal cortex_layer 2/3,DIEnt2/3,2408,43110,2,118,106,926,DIEnt,none,none
Dorsal intermediate entorhinal cortex_layer 3,DIEnt3,664,43200,36,122,111,926,DIEnt,Entorhinal area_medial part_dorsal zone_layer 3,ENTm3
Dorsal intermediate entorhinal cortex_layer 4,DIEnt4,712,43300,63,135,126,926,DIEnt,Entorhinal area_medial part_dorsal zone_layer 4,ENTm4
Dorsal intermediate entorhinal cortex_layer 5,DIEnt5,727,43400,64,135,126,926,DIEnt,Entorhinal area_medial part_dorsal zone_layer 5,ENTm5
Dorsal intermediate entorhinal cortex_layer 5/6,DIEnt5/6,550,43500,81,139,133,926,DIEnt,Entorhinal area_medial part_dorsal zone_layer 5/6,ENTm5/6
Dorsal intermediate entorhinal cortex_layer 6,DIEnt6,743,43600,108,156,152,926,DIEnt,Entorhinal area_medial part_dorsal zone_layer 6,ENTm6
Ventral intermediate entorhinal cortex,VIEnt,934,43700,128,255,147,909,ENT,Entorhinal area_medial part_ventral zone,ENTmv
Ventral intermediate entorhinal cortex_layer 1,VIEnt1,259,43800,0,104,96,934,VIEnt,Entorhinal area_medial part_ventral zone_layer 1,ENTmv1
Ventral intermediate entorhinal cortex_layer 2,VIEnt2,324,43900,0,117,111,934,VIEnt,Entorhinal area_medial part_ventral zone_layer 2,ENTmv2
Ventral intermediate entorhinal cortex_layer 3,VIEnt3,371,44000,35,122,117,934,VIEnt,Entorhinal area_medial part_ventral zone_layer 3,ENTmv3
Ventral intermediate entorhinal cortex_layer 4,VIEnt4,419,44100,62,135,133,934,VIEnt,Entorhinal area_medial part_ventral zone_layer 4,ENTmv4
Ventral intermediate entorhinal cortex_layer 5/6,VIEnt5/6,1133,44200,80,140,140,934,VIEnt,Entorhinal area_medial part_ventral zone_layer 5/6,ENTmv5/6
Medial entorhinal cortex,MEnt,2159,44220,80,140,140,909,ENT,none,none
Medial entorhinal cortex_layer 1,MEnt1,2164,44230,80,140,140,2159,MEnt,none,none
Medial entorhinal cortex_layer 2,MEnt2,2444,44240,80,140,140,2159,MEnt,none,none
Medial entorhinal cortex_layer 3,MEnt3,2445,44250,80,140,140,2159,MEnt,none,none
Medial entorhinal cortex_layer 5,MEnt5,2446,44260,80,140,140,2159,MEnt,none,none
Medial entorhinal cortex_layer 6,MEnt6,2447,44270,80,140,140,2159,MEnt,none,none
Caudomedial entothinal cortex,CEnt,2161,44280,80,140,140,909,ENT,none,none
Caudomedial entothinal cortex_layer 1,CEnt1,2448,44290,80,140,140,2161,CEnt,none,none
Caudomedial entothinal cortex_layer 2,CEnt2,2449,44291,80,140,140,2161,CEnt,none,none
Caudomedial entothinal cortex_layer 3,CEnt3,2450,44292,80,140,140,2161,CEnt,none,none
Caudomedial entothinal cortex_layer 5,CEnt5,2451,44293,80,140,140,2161,CEnt,none,none
Caudomedial entothinal cortex_layer 6,CEnt6,2452,44294,80,140,140,2161,CEnt,none,none
Parasubiculum,PaS,843,44300,129,255,160,822,RHP,Parasubiculum,PAR
Parasubiculum_layer 1,PaS1,10693,44400,129,255,160,843,PaS,Parasubiculum_layer 1,PAR1
Parasubiculum_layer 2,PaS2,10694,44500,129,255,160,843,PaS,Parasubiculum_layer 2,PAR2
Parasubiculum_layer 3,PaS3,10695,44600,129,255,160,843,PaS,Parasubiculum_layer 3,PAR3
Postsubiculum,Post,1037,44700,128,255,160,822,RHP,Postsubiculum,POST
Postsubiculum_layer 1,Post1,10696,44800,128,255,160,1037,Post,Postsubiculum_layer 1,POST1
Postsubiculum_layer 2,Post2,10697,44900,128,255,160,1037,Post,Postsubiculum_layer 2,POST2
Postsubiculum_layer 3,Post3,10698,45000,128,255,160,1037,Post,Postsubiculum_layer 3,POST3
Presubiculum,PrS,1084,45100,129,255,161,822,RHP,Presubiculum,PRE
Presubiculum_layer 1,PrS1,10699,45200,129,255,161,1084,PrS,Presubiculum_layer 1,PRE1
Presubiculum_layer 2,PrS2,10700,45300,129,255,161,1084,PrS,Presubiculum_layer 2,PRE2
Presubiculum_layer 3,PrS3,10701,45400,129,255,161,1084,PrS,Presubiculum_layer 3,PRE3
Subiculum,SUB,502,45500,128,255,151,822,RHP,Subiculum,SUB
Dorsal subiculum,DS,509,45600,129,255,151,502,SUB,Subiculum_dorsal part,SUBd
Dorsal subiculum_molecular layer,DS-m,829,45700,129,255,151,509,DS,Subiculum_dorsal part_molecular layer,SUBd-m
Dorsal subiculum_pyramidal layer,DS-sp,845,45800,100,230,121,509,DS,Subiculum_dorsal part_pyramidal layer,SUBd-sp
Dorsal subiculum_stratum radiatum,DS-sr,837,45900,129,255,151,509,DS,Subiculum_dorsal part_stratum radiatum,SUBd-sr
Ventral subiculum,VS,518,46000,130,255,151,502,SUB,Subiculum_ventral part,SUBv
Ventral subiculum_molecular layer,VS-m,853,46100,130,255,151,518,VS,Subiculum_ventral part_molecular layer,SUBv-m
Ventral subiculum_pyramidal layer,VS-sp,870,46200,100,230,121,518,VS,Subiculum_ventral part_pyramidal layer,SUBv-sp
Ventral subiculum_stratum radiatum,VS-sr,861,46300,130,255,151,518,VS,Subiculum_ventral part_stratum radiatum,SUBv-sr
Subiculum_transition area,STr,2440,46310,130,255,151,502,SUB,Subiculum_transition area,SUBt
Subiculum_transition area_molecular layer,STr-m,2441,46320,130,255,151,2440,STr,Subiculum_transition area_molecular layer,SUBt-m
Subiculum_transition area_pyramidal layer,STr-sp,2442,46330,130,255,151,2440,STr,Subiculum_transition area_pyramidal layer,SUBt-sp
Subiculum_transition area_stratum radiatum,STr-sr,2443,46340,130,255,151,2440,STr,Subiculum_transition area_stratum radiatum,SUBt-sr
Cortical subplate,CTXsp,703,46400,80,255,80,688,CTX,Cortical subplate,CTXsp
Layer 6b_isocortex,6b,16,46500,80,255,81,703,CTXsp,Layer 6b_isocortex,6b
Claustrum,Cl,583,46600,80,255,85,703,CTXsp,Claustrum,CLA
Dorsal claustrum,DCl,2002,46610,80,255,85,583,Cl,none,none
Ventral claustrum,VCl,2003,46620,80,255,85,583,Cl,none,none
Endopiriform nucleus,En,942,46700,80,255,87,703,CTXsp,Endopiriform nucleus,EP
Dorsal endopiriform nucleus,DEn ,952,46800,81,255,87,942,En,Endopiriform nucleus_dorsal part,EPd
Ventral endopiriform nucleus,VEn,966,46900,82,255,87,942,En,Endopiriform nucleus_ventral part,EPv
Intermediate endopiriform claustrum,IEn,2085,46910,82,255,87,942,En,none,none
Retroendopiriform nucleus ,REn,2426,46920,82,255,87,942,En,none,none
Lateral amygdaloid nucleus,La,131,47000,80,255,88,703,CTXsp,Lateral amygdalar nucleus,LA
Lateral amygdaloid nucleus_dorsolateral part,LaDL,2068,47010,80,255,88,131,La,none,none
Lateral amygdaloid nucleus_ventrolateral part,LaVL,2052,47020,80,255,88,131,La,none,none
Lateral amygdaloid nucleus_ventromedial part,LaVM,2060,47030,80,255,88,131,La,none,none
Basolateral amygdalar nucleus,BL,295,47100,80,255,83,703,CTXsp,Basolateral amygdalar nucleus,BLA
Basolateral amygdaloid nucleus_anterior part,BLA,303,47200,81,255,83,295,BL,Basolateral amygdalar nucleus_anterior part,BLAa
Basolateral amygdaloid nucleus_posterior part,BLP,311,47300,82,255,83,295,BL,Basolateral amygdalar nucleus_posterior part,BLAp
Basolateral amygdaloid nucleus_ventral part,BLV,451,47400,73,255,83,295,BL,Basolateral amygdalar nucleus_ventral part,BLAv
Basomedial amygdalar nucleus,BM,319,47500,80,255,84,703,CTXsp,Basomedial amygdalar nucleus,BMA
Basomedial amygdaloid nucleus_anterior part,BMA,327,47600,81,255,84,319,BM,Basomedial amygdalar nucleus_anterior part,BMAa
Basomedial amygdaloid nucleus_posterior part,BMP,334,47700,82,255,84,319,BM,Basomedial amygdalar nucleus_posterior part,BMAp
Amygdalohippocampal area,AHi,780,47800,80,255,89,703,CTXsp,Posterior amygdalar nucleus,PA
Amygdalohippocampal area_anterolateral part,AHiAL,2086,47810,80,255,89,780,AHi,none,none
Amygdalohippocampal area_posteromedial part,AHiPM,2087,47820,80,255,89,780,AHi,none,none
Amygdalohippocampal area_posterolateral,AHiPL,2088,47830,80,255,89,780,AHi,none,none
Cerebral nuclei,CNU,623,47900,176,216,255,567,CH,Cerebral nuclei,CNU
Striatum,STR,477,48000,160,200,232,623,CNU,Striatum,STR
Striatum dorsal region,STRd,485,48100,160,216,232,477,STR,Striatum dorsal region,STRd
Caudate Putamen ,CP,672,48200,160,216,248,485,STRd,Caudoputamen,CP
Caudoputamen- rostral extreme,CPre,2376,48210,160,216,248,672,CP,none,none
Caudoputamen- rostral,CPr,2491,48220,160,216,248,672,CP,none,none
Caudoputamen- rostral_medial,CPr_m,2294,48221,160,216,248,2491,CPr,none,none
Caudoputamen- rostral_intermediate_dorsal,CPr_imd,2295,48222,160,216,248,2491,CPr,none,none
Caudoputamen- rostral_intermediate_ventral,CPr_imv,2296,48223,160,216,248,2491,CPr,none,none
Caudoputamen- rostral_lateral,CPr_l,2497,48224,160,216,248,2491,CPr,none,none
Caudoputamen- rostral_lateral_lateral strip,CPr_l_ls,2395,48225,160,216,248,2497,CPr_l,none,none
Caudoputamen- rostral lateral_ventromedial,CPr_l_vm,2297,48226,160,216,248,2497,CPr_l,none,none
Caudoputamen- intermediate,CPi,2492,48230,160,216,248,672,CP,none,none
Caudoputamen- intermediate_dorsomedial,CPi_dm,2498,48231,160,216,248,2492,CPi,none,none
Caudoputamen- intermediate_dorsomedial_dorsolateral,CPi_dm_dl,2299,48232,160,216,248,2498,Cpi_dm,none,none
Caudoputamen- intermediate_dorsomedial_intermedial,CPi_dm_im,2298,48233,160,216,248,2498,Cpi_dm,none,none
Caudoputamen- intermediate_dorsomedial_central dorsal,CPi_dm_cd,2374,48234,160,216,248,2498,Cpi_dm,none,none
Caudoputamen- intermediate_dorsomedial_dorsal tip ,CPi_dm_dt,2380,48235,160,216,248,2498,Cpi_dm,none,none
Caudoputamen- intermediate_ventromedial,CPi_vm,2500,48236,160,216,248,2492,CPi,none,none
Caudoputamen- intermediate_ventromedial_ventromedial,CPi_vm_vm,2302,48237,160,216,248,2500,CPi_vm,none,none
Caudoputamen- intermediate_ventromedial_ventral,CPi_vm_v,2480,48238,160,216,248,2500,CPi_vm,none,none
Caudoputamen- intermediate_ventromedial_central ventromedial,CPi_vm_cvm,2483,48239,160,216,248,2500,CPi_vm,none,none
Caudoputamen- intermediate_dorsolateral_,CPi_dl,2499,48240,160,216,248,2492,CPi,none,none
Caudoputamen- intermediate_dorsolateral_dorsal,CPi_dl_d,2300,48241,160,216,248,2499,Cpi_dl,none,none
Caudoputamen- intermediate_dorsolateral_intermedial dorsal,CPi_dl_imd,2301,48242,160,216,248,2499,Cpi_dl,none,none
Caudoputamen- intermediate_ventrolateral,CPi_vl,2501,48243,160,216,248,2492,CPi,none,none
Caudoputamen- intermediate_ventrolateral_intermedial ventral,CPi_vl_imv,2479,48244,160,216,248,2501,CPi_vl,none,none
Caudoputamen- intermediate_ventrolateral_ventral,CPi_vl_v,2482,48245,160,216,248,2501,CPi_vl,none,none
Caudoputamen- intermediate_ventrolateral_ventral tip,CPi_vl_vt,2481,48246,160,216,248,2501,CPi_vl,none,none
Caudoputamen- intermediate_ventrolateral_central ventrolateral,CPi_vl_cvl,2370,48247,160,216,248,2501,CPi_vl,none,none
Caudoputamen- caudal,CPc,2496,48250,160,216,248,672,CP,none,none
Caudoputamen- caudal_dorsal,CPc_d,2493,48251,160,216,248,2496,CPc,none,none
Caudoputamen- caudal_dorsal_dorsomedial,CPc_d_dm,2484,48252,160,216,248,2493,CPc_d,none,none
Caudoputamen- caudal_dorsal_dorsolateral,CPc_d_dl,2485,48253,160,216,248,2493,CPc_d,none,none
Caudoputamen- caudal_dorsal_ventromedial,CPc_d_vm,2486,48254,160,216,248,2493,CPc_d,none,none
Caudoputamen- caudal_intermediate,CPc_i,2494,48255,160,216,248,2496,CPc,none,none
Caudoputamen- caudal_intermediate_dorsal,CPc_i_d,2487,48256,160,216,248,2494,CPc_i,none,none
Caudoputamen- caudal_intermediate_ventromedial,CPc_i_vm,2489,48257,160,216,248,2494,CPc_i,none,none
Caudoputamen- caudal_intermediate_ventrolateral,CPc_i_vl,2488,48258,160,216,248,2494,CPc_i,none,none
Caudoputamen- caudal_ventral,CPc_v,2490,48259,160,216,248,2496,CPc,none,none
Caudoputamen- caudal extreme,CPce,2495,48260,160,216,248,672,CP,none,none
Lateral stripe of the striatum ,LSS,2001,48270,160,216,248,477,STR,none,none
Amygdalostriatal transition area,ASt ,2050,48280,160,216,248,477,STR,none,none
Striatum ventral region,STRv,493,48300,160,232,232,477,STR,Striatum ventral region,STRv
Accumbens nucleus,Acb,56,48400,160,232,224,493,STRv,Nucleus accumbens,ACB
Accumbens nucleus_core region,AcbC,2074,48410,160,232,224,56,Acb,none,none
Accumbens nucleus_shell region,AcbSh,2006,48420,160,232,224,56,Acb,none,none
Lateral accumbens_shell region,LAcbSh,2007,48430,160,232,224,56,Acb,none,none
Interstitial nucleus of the posterior limb of the anterior commissure,IPAC,998,48500,160,228,224,493,STRv,Fundus of striatum,FS
Interstitial nucleus of the posterior limb of the anterior commissure_medial part,IPACM,2012,48510,160,228,224,998,IPAC,none,none
Interstitial nucleus of the posterior limb of the anterior commissure_lateral part,IPACL,2372,48520,160,228,224,998,IPAC,none,none
Olfactory tubercle,Tu,754,48600,160,224,224,493,STRv,Olfactory tubercle,OT
Island of Calleja,ICj,481,48700,160,224,224,754,Tu,Islands of Calleja,isl
Island of Calleja_major island,ICjM,489,48800,160,224,224,754,Tu,Major island of Calleja,islm
Olfactory tubercle 1 ,Tu1,458,49000,160,224,224,754,Tu,Olfactory tubercle_molecular layer,OT1
Olfactory tubercle 2,Tu2,465,49100,160,224,224,754,Tu,Olfactory tubercle_pyramidal layer,OT2
Olfactory tubercle 3,Tu3,473,49200,160,224,224,754,Tu,Olfactory tubercle_polymorph layer,OT3
Navicular nucleus of the basal forebrain,Nv,2018,49210,160,224,224,754,Tu,none,none
Lateral septal complex,LSX,275,49300,160,239,232,477,STR,Lateral septal complex,LSX
Lateral septal nucleus,LS,242,49400,153,239,232,275,LSX,Lateral septal nucleus,LS
Lateral septal nucleus_dorsal part,LSD,250,49500,153,237,232,242,LS,Lateral septal nucleus_caudal (caudodorsal) part,LSc
Lateral septal nucleus_intermediate part,LSI,258,49600,153,237,233,242,LS,Lateral septal nucleus_rostral (rostroventral) part,LSr
Lateral septal nucleus_ventral part,LSV,266,49700,153,237,234,242,LS,Lateral septal nucleus_ventral part,LSv
Zona limitans,ZL,2008,49710,153,237,234,242,LS,none,none
Septofimbrial nucleus,SFi ,310,49800,147,239,232,275,LSX,Septofimbrial nucleus,SF
Septohippocampal nucleus,SHi ,333,49900,139,239,232,275,LSX,Septohippocampal nucleus,SH
Septohypothalamic nucleus,SHy ,2009,49910,139,239,232,275,LSX,none,none
Striatum-like amygdalar nuclei,sAMY,278,50000,160,208,232,477,STR,Striatum-like amygdalar nuclei,sAMY
Anterior amygdaloid area,AA,23,50100,186,208,248,278,sAMY,Anterior amygdalar area,AAA
Bed nucleus of the accessory olfactory tract,BAOT,292,50200,160,208,232,278,sAMY,Bed nucleus of the accessory olfactory tract,BA
Central amygdalar nucleus,Ce,536,50300,171,208,248,278,sAMY,Central amygdalar nucleus,CEA
Central amygdaloid nucleus_capsular part,CeC,544,50400,171,209,248,536,Ce,Central amygdalar nucleus_capsular part,CEAc
Central amygdaloid nucleus_lateral part,CeL,551,50500,171,209,249,536,Ce,Central amygdalar nucleus_lateral part,CEAl
Central amygdaloid nucleus_medial part,CeM,559,50600,171,209,250,536,Ce,Central amygdalar nucleus_medial part,CEAm
Intercalated nuclei of the amygdala,I,1105,50700,184,208,248,278,sAMY,Intercalated amygdalar nucleus,IA
Intercalated amygdalar nucleus_main part,IM,2375,50710,184,208,248,1105,I,none,none
Medial amygdaloid nucleus,Me,403,50800,176,208,248,278,sAMY,Medial amygdalar nucleus,MEA
Medial amygdaloid nucleus_anterodorsal part,MeAD,411,50900,176,209,248,403,Me,Medial amygdalar nucleus_anterodorsal part,MEAad
Medial amygdaloid nucleus_anterventral part,MeAV,418,51000,176,208,249,403,Me,Medial amygdalar nucleus_anteroventral part,MEAav
Medial amygdaloid nucleus_posterodorsal part,MePD,426,51100,176,208,250,403,Me,Medial amygdalar nucleus_posterodorsal part,MEApd
none,none,-1,-1,-1,-1,-1,-1,none,Medial amygdalar nucleus_posterodorsal part_sublayer a,MEApd-a
none,none,-1,-1,-1,-1,-1,-1,none,Medial amygdalar nucleus_posterodorsal part_sublayer b,MEApd-b
none,none,-1,-1,-1,-1,-1,-1,none,Medial amygdalar nucleus_posterodorsal part_sublayer c,MEApd-c
Medial amygdaloid nucleus_posteroventral part,MePV ,435,51500,176,208,251,403,Me,Medial amygdalar nucleus_posteroventral part,MEApv
Pallidum,PAL,803,51600,160,200,176,623,CNU,Pallidum,PAL
none,none,-1,-1,-1,-1,-1,-1,none,Pallidum_dorsal region,PALd
Globus pallidus,GP,1022,51800,160,216,177,803,PAL,Globus pallidus_external segment,GPe
Entopeduncular nucleus,EP,1031,51900,160,216,178,803,PAL,Globus pallidus_internal segment,GPi
Ventral pallidum,VP,835,52000,160,208,176,803,PAL,Pallidum_ventral region,PALv
Substantia innominata,SI,342,52100,152,208,176,803,PAL,Substantia innominata,SI
Substantia innominata_basal part,SIB,2371,52110,152,208,176,342,SI,none,none
Extension of the amygdala,EA,2027,52120,152,208,176,342,SI,none,none
Cell bridges of the ventral striatum,CB,2013,52130,160,228,224,342,SI,none,none
Magnocellular nucleus,MCPO,298,52200,162,208,176,803,PAL,Magnocellular nucleus,MA
Basal nucleus (Meynert),B,2028,52210,162,208,176,803,PAL,none,none
Pallidum_medial region,PALm,826,52300,160,224,176,803,PAL,Pallidum_medial region,PALm
Medial septal complex,MSC,904,52400,160,224,176,826,PALm,Medial septal complex,MSC
Medial septal nucleus,MS,564,52500,118,224,176,904,MSC,Medial septal nucleus,MS
Lambdoid septal zone,Ld,2005,52510,118,224,176,564,MS,none,none
Diagonal band nucleus,NDB,2280,52600,138,224,176,904,MSC,none,none
Nucleus of the vertical limb of the diagonal band,VDB,596,52610,138,224,176,2280,NDB,none,none
Lateral nucleus of the diagnoal band,LDB,2293,52620,138,224,176,2280,NDB,none,none
Nucleus of the horizontal limb of the diagonal band,HDB,2004,52630,138,224,176,2280,NDB,none,none
Triangular septal nucleus,TS,581,52700,128,224,176,826,PALm,Triangular nucleus of septum,TRS
Pallidum_caudal region,PALc,809,52800,160,190,176,803,PAL,Pallidum_caudal region,PALc
Nucleus of stria medullaris,SM,2308,52810,160,190,176,809,PALc,none,none
Bed nuclei of the stria terminalis,ST,351,52900,160,190,160,809,PALc,Bed nuclei of the stria terminalis,BST
Bed nuclei of the stria terminalis_anterior division,STa,359,53000,160,190,161,351,ST,Bed nuclei of the stria terminalis_anterior division,BSTa
